time, p0, p1, p2, p3
70360837526, [309.82922 217.53658], [314.17072 178.4634 ], [327.45123 179.93901], [323.10974 219.01219]
70461225917, [312. 180.], [331. 180.], [331. 218.], [312. 218.]
70560958323, [316. 180.], [324. 180.], [324. 217.], [316. 217.]
70662240640, [323. 181.], [331. 181.], [331. 218.], [323. 218.]
70766842666, [353. 181.], [361. 181.], [361. 218.], [353. 218.]
70864166494, [361.80515 180.1278 ], [370.11185 179.79553], [371.59586 216.89618], [363.28915 217.22845]
70962947377, [368.60977 179.4878 ], [377.50003 178.5    ], [381.73172 216.58539], [372.84146 217.57318]
71081046992, [360.33527 180.35883], [384.9588  178.46469], [387.8294  215.78235], [363.20587 217.67648]
71167980577, [368.59753 179.37805], [387.03656 177.32928], [391.29266 215.63419], [372.85364 217.68295]
71261720311, [374.09235 177.73848], [386.64618 176.16924], [391.56927 215.55385], [379.01544 217.1231 ]
71360237549, [373.83786 178.02704], [385.35135 176.10812], [391.89188 215.35138], [380.3784 217.2703]
71461231479, [370.48132 177.62595], [388.6858  176.71573], [390.67084 216.41647], [372.46637 217.32669]
